sample	data_type	qc_pipeline	reference	total_reads	mapped_reads	mapped_pct	proper_pairs	proper_pairs_pct	mean_mapq	median_mapq	mq0	mq0_pct	mq1_19	mq1_19_pct	mq20_29	mq20_29_pct	mq30_59	mq30_59_pct	mq60	mq60_pct	coverage_mean	coverage_median	pct_zero_coverage
SRX4183068_SRR7279723_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	34723569	34529040	99.44	31497070	90.7080	49.2369	60	4986125	14.4404	550136	1.5933	377626	1.0936	2014205	5.8334	26600948	77.0394	6.3388	5	1.9781
SRX4183070_SRR7279721_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	51188974	50782484	99.21	41171756	80.4309	40.9022	60	12629319	24.8694	2295496	4.5203	1007938	1.9848	3514870	6.9214	31334861	61.7041	8.7516	7	5.0591
SRX4183067_SRR7279724_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	50927558	50626424	99.41	47362146	92.9991	49.5175	60	7319484	14.4578	639252	1.2627	487320	0.9626	2711341	5.3556	39469027	77.9613	9.4238	8	0.8126
SRX27341371_SRR31986664_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	111531854	111244205	99.74	110277170	98.8750	50.5633	60	15127364	13.5983	797995	0.7173	892469	0.8023	4737985	4.2591	89688392	80.6230	21.2624	18	0.2975
SRX4183069_SRR7279722_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	108312577	107623179	99.36	100534166	92.8186	50.9158	60	12935358	12.0191	1416962	1.3166	1064606	0.9892	5968107	5.5454	86238146	80.1297	19.9960	18	0.5609
SRX27341537_SRR31986498_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	114356329	114031022	99.72	112979802	98.7963	49.5289	60	17252881	15.1300	960788	0.8426	991075	0.8691	5031391	4.4123	89794887	78.7460	21.7818	18	0.4210
SRX4183065_SRR7279726_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	114185099	113483080	99.39	106106696	92.9252	46.5170	60	21818263	19.2260	1665531	1.4676	1175998	1.0363	6082464	5.3598	82740824	72.9103	21.1005	17	0.9666
SRX4183066_SRR7279725_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	139995865	139365460	99.55	128989658	92.1382	50.5874	60	17418300	12.4983	1914682	1.3739	1387987	0.9959	7754942	5.5645	110889549	79.5675	25.9351	23	0.4685
SRX4183083_SRR7279708_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	42455040	42201446	99.40	39229116	92.4016	47.3252	60	7194346	17.0476	893630	2.1175	542589	1.2857	2427642	5.7525	31143239	73.7966	7.7753	6	1.9999
SRX4183080_SRR7279711_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	56400701	56070229	99.41	52269538	92.6753	50.1288	60	7486347	13.3517	735913	1.3125	554679	0.9893	3069073	5.4736	44224217	78.8729	10.4377	9	0.7856
SRX4183078_SRR7279713_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	57589790	57193206	99.31	53018664	92.0626	46.4175	60	10976485	19.1919	953607	1.6673	608849	1.0645	3060378	5.3509	41593887	72.7252	10.5565	9	1.3883
