sample	data_type	qc_pipeline	reference	total_reads	mapped_reads	mapped_pct	supplementary_reads	supplementary_pct	mean_mapq	median_mapq	mq0	mq0_pct	mq1_19	mq1_19_pct	mq20_29	mq20_29_pct	mq30_59	mq30_59_pct	mq60	mq60_pct	coverage_mean	coverage_median	pct_zero_coverage
SRX25322143_SRR29823272_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	162414729	161614257	99.51	226879	0.1404	48.1398	60	20836613	12.8928	6023014	3.7268	4553188	2.8173	10836019	6.7049	119365423	73.8582	30.8618	27	0.3980
SRX6610777_SRR9856933_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	183982118	116395688	63.26	1828099	1.5706	34.9125	39	21774846	18.7076	14023424	12.0481	11846492	10.1778	31170678	26.7799	37580248	32.2866	15.9817	15	3.2951
SRX6934190_SRR10214512_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	228793321	172061805	75.20	2665295	1.5490	32.7506	35	40643350	23.6214	19475827	11.3191	16539059	9.6123	43680420	25.3865	51723149	30.0608	23.5564	19	2.1586
SRX6942209_SRR10222608_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	265115315	185277544	69.89	3461594	1.8683	28.7225	28	56921167	30.7221	22233595	12.0002	16622797	8.9718	42114474	22.7305	47385511	25.5754	24.5341	19	2.8741
SRX6934191_SRR10214511_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	268994432	213152993	79.24	2988141	1.4019	31.6372	34	59795411	28.0528	21805617	10.2300	17444359	8.1840	47629356	22.3451	66478250	31.1880	30.2041	23	1.6541
SRX10558138_SRR14191280_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	282990039	200050576	70.69	659098	0.3295	35.2421	39	36223922	18.1074	23482016	11.7380	20281346	10.1381	57099238	28.5424	62964054	31.4741	31.5524	28	0.0299
SRX6960104_SRR10241444_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	266962852	224673668	84.16	3585259	1.5958	23.2088	8	103198424	45.9326	20508309	9.1280	13418638	5.9725	35490163	15.7963	52058134	23.1706	32.9529	19	3.4612
SRX6928074_SRR10208148_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	299171732	250836230	83.84	3627071	1.4460	29.9143	30	82164653	32.7563	24102961	9.6090	17887149	7.1310	49408019	19.6973	77273448	30.8063	36.7658	27	1.0747
SRX6919144_SRR10199004_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	308325879	253425520	82.19	3276323	1.2928	31.3552	34	76380768	30.1393	24196063	9.5476	18497630	7.2990	51775384	20.4302	82575675	32.5838	37.4929	28	1.0883
SRX7000501_SRR10287515_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	253737938	206237576	81.28	3678165	1.7835	31.3915	34	60665497	29.4153	21189707	10.2744	15168345	7.3548	41865352	20.2996	67348675	32.6559	29.3044	23	2.9821
