"Run","Sample.Name","Experiment","name_CW","read_type"
"SRR7279494","Tegucigalpa","SRX4183297","CW0008","paired"
"SRR10343551","PI378994","SRX7053423","CW0009","single"
"SRR7279547","BGV008224","SRX4183244","CW0010","paired"
"SRR7279629","BGV008070","SRX4183162","CW0011","paired"
"SRR7279726","BGV007902","SRX4183065","CW0012","paired"
"SRR11073828","EA00157","SRX7713272","CW0013","single"
"SRR10763451","BGV007931","SRX7437650","CW0014","single"
"SRR7279517","LA1712","SRX4183274","CW0016","paired"
"SRR11073834","TR00023","SRX7713266","CW0017","single"
"SRR7279519","BGV014522","SRX4183272","CW0018","paired"
"SRR7279511","BGV006230","SRX4183280","CW0019","paired"
"SRR7279567","BGV006906","SRX4183224","CW0020","paired"
"SRR7279572","BGV007934","SRX4183219","CW0021","paired"
"SRR7279630","BGV012625","SRX4183161","CW0022","paired"
"SRR7279486","BGV006234","SRX4183305","CW0023","paired"
"SRR7279691","BGV007894","SRX4183100","CW0024","paired"
"SRR7279703","BGV007867","SRX4183088","CW0025","paired"
"SRR7279515","Voyage","SRX4183276","CW0026","paired"
"SRR7279565","BGV007936","SRX4183226","CW0027","paired"
"SRR7279716","BGV008065","SRX4183075","CW0028","paired"
"SRR7279614","BGV008218","SRX4183177","CW0029","paired"
"SRR11113509","LYC2910","SRX7750524","CW0031","single"
"SRR11093190","EA01049","SRX7732011","CW0032","single"
"SRR7279497","BGV015730","SRX4183294","CW0033","paired"
"SRR7279574","BGV008223","SRX4183217","CW0034","paired"
"SRR7279544","BGV006779","SRX4183247","CW0035","paired"
"SRR11093189","EA01155","SRX7732012","CW0036","single"
"SRR11093191","EA01037","SRX7732010","CW0037","single"
"SRR7279620","BGV008061","SRX4183171","CW0038","paired"
"SRR7279555","BGV012639","SRX4183236","CW0039","paired"
"SRR7279549","BGV013161","SRX4183242","CW0040","paired"
"SRR7279604","BGV007920","SRX4183187","CW0042","paired"
"SRR7279618","BGV007989","SRX4183173","CW0043","paired"
"SRR7279708","BGV006881","SRX4183083","CW0045","paired"
"SRR11113513","TR00003","SRX7750520","CW0046","single"
"SRR7279559","BGV008100","SRX4183232","CW0047","paired"
"SRR7279510","BGV006231","SRX4183281","CW0048","paired"
"SRR7279656","BGV007863","SRX4183135","CW0049","paired"
"SRR11093187","LA2706","SRX7732014","CW0050","single"
"SRR7279496","BGV014519","SRX4183295","CW0051","paired"
"SRR7279561","BGV007992","SRX4183230","CW0052","paired"
"SRR7279705","BGV006806","SRX4183086","CW0053","paired"
"SRR7279622","BGV008051","SRX4183169","CW0054","paired"
"SRR7279621","BGV008041","SRX4183170","CW0055","paired"
"SRR7279655","BGV007864","SRX4183136","CW0056","paired"
"SRR7279518","PI129026","SRX4183273","CW0057","paired"
"SRR7279633","BGV008348","SRX4183158","CW0058","paired"
"SRR7279524","BGV015734","SRX4183267","CW0059","paired"
"SRR7279707","BGV006777","SRX4183084","CW0060","paired"
"SRR10763454","BGV012615","SRX7437647","CW0061","single"
"SRR7279551","BGV012626","SRX4183240","CW0062","paired"
"SRR7279523","LA2309","SRX4183268","CW0063","paired"
"SRR7279706","BGV006792","SRX4183085","CW0064","paired"
"SRR7279690","BGV007895","SRX4183101","CW0065","paired"
"SRR10197546","EA01640","SRX6917688","CW0067","single"
"SRR11093185","LA2463","SRX7732016","CW0068","single"
"SRR7279568","BGV006859","SRX4183223","CW0069","paired"
"SRR7279610","BGV012627","SRX4183181","CW0071","paired"
"SRR11093183","V710029","SRX7732018","CW0072","single"
"SRR7279488","BGV008095","SRX4183303","CW0073","paired"
"SRR7279513","BGV006753","SRX4183278","CW0074","paired"
"SRR7279489","BGV006229","SRX4183302","CW0075","paired"
"SRR7279642","BGV006899","SRX4183149","CW0076","paired"
"SRR7279660","BGV007857","SRX4183131","CW0077","paired"
"SRR11093193","PI303721","SRX7732008","CW0078","single"
"SRR7279722","BGV007878","SRX4183069","CW0079","paired"
"SRR7279569","BGV014515","SRX4183222","CW0080","paired"
"SRR7279538","BGV007910","SRX4183253","CW0081","paired"
"SRR7279585","BGV006825","SRX4183206","CW0082","paired"
"SRR11186629","BGV006175","SRX7806918","CW0083","single"
"SRR7279662","BGV006904","SRX4183129","CW0084","paired"
"SRR7279684","BGV007860","SRX4183107","CW0085","paired"
"SRR7279645","BGV006901","SRX4183146","CW0086","paired"
"SRR7279627","BGV008077","SRX4183164","CW0087","paired"
"SRR7279661","BGV006896","SRX4183130","CW0088","paired"
"SRR7279598","BGV008098","SRX4183193","CW0089","paired"
"SRR7279725","BGV007865","SRX4183066","CW0090","paired"
"SRR7279713","BGV014508","SRX4183078","CW0091","paired"
"SRR10763453","BGV008225","SRX7437648","CW0093","single"
"SRR7279606","BGV007909","SRX4183185","CW0094","paired"
"SRR7279724","BGV007875","SRX4183067","CW0095","paired"
"SRR7279670","PI129088","SRX4183121","CW0096","paired"
"SRR7279603","BGV013175","SRX4183188","CW0097","paired"
"SRR7279512","BGV006767","SRX4183279","CW0098","paired"
"SRR7279540","BGV012613","SRX4183251","CW0099","paired"
"SRR11093192","TR00018","SRX7732009","CW0100","single"
"SRR7279671","BGV007900","SRX4183120","CW0101","paired"
"SRR7279681","BGV007899","SRX4183110","CW0102","paired"
"SRR7279526","PI487625","SRX4183265","CW0103","paired"
"SRR7279485","BGV006232","SRX4183306","CW0104","paired"
"SRR11073831","EA01088","SRX7713269","CW0105","single"
