"phenotype_number","phenotype_name","n_samples","mean_value","sd_value","min_value","max_value"
1,"adjusted_bursting_increase",210,0.68213757039595,0.185478866494603,-0.218467367792849,0.947723072275542
2,"adjusted_germ_decrease",210,0.00704624607059042,0.0532432402674897,-0.158531360606329,0.266270794368074
3,"adjusted_integral_increase",210,26.8062437232836,9.64288956187117,-5.47340222686918,51.6626241820967
4,"burst_2h_26C_adjusted_mean",210,0.150368621788364,0.147494810097705,-0.0550893239617209,0.918361827891619
5,"burst_2h_34C_adjusted_mean",210,0.832506192184314,0.14746060851348,0.249044169193785,1.04655729975713
6,"burst_integral_26C_adjusted_mean",210,4.64854536303782,4.33152845784386,-2.43495410248093,43.49674819951
7,"burst_integral_34C_adjusted_mean",210,31.4547890863214,10.2550750985504,6.97633795995764,56.3577681429232
8,"germ_2h_26C_adjusted_mean",210,0.966127760252712,0.0371821895459287,0.77246844317343,1.01406513665379
9,"germ_2h_34C_adjusted_mean",210,0.959081514182122,0.0590558661913271,0.623903459661981,1.00685518740352
10,"tube_length_26C_adjusted_mean",210,811.234408358113,63.5934357831424,664.270592823795,975.344592113193
11,"tube_length_34C_adjusted_mean",210,773.840476277979,50.8547753411414,634.230803097333,905.716655466738
