# [1]Indel length	[2]Count
-60	3
-59	2
-58	4
-57	3
-56	2
-55	2
-54	5
-53	6
-52	10
-51	2
-50	11
-49	13
-48	16
-47	8
-46	18
-45	9
-44	27
-43	9
-42	24
-41	10
-40	46
-39	14
-38	66
-37	20
-36	50
-35	23
-34	77
-33	31
-32	93
-31	36
-30	125
-29	29
-28	94
-27	52
-26	134
-25	68
-24	165
-23	84
-22	183
-21	108
-20	232
-19	201
-18	303
-17	132
-16	324
-15	201
-14	427
-13	243
-12	620
-11	441
-10	719
-9	597
-8	969
-7	594
-6	1452
-5	1028
-4	2610
-3	3373
-2	10069
-1	34398
1	50648
2	15088
3	4469
4	3100
5	993
6	1373
7	628
8	834
9	664
10	600
11	384
12	575
13	274
14	247
15	246
16	183
17	111
18	147
19	142
20	109
21	103
22	58
23	47
24	50
25	32
26	30
27	31
28	26
29	23
30	20
31	12
32	13
33	10
34	6
35	3
36	7
37	5
38	3
39	2
40	2
41	1
43	1
44	1
